epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.0789,1.06436,4.80474,0.0047,0.40771,0.61948,0.47519,0.3667,0.90447,2.64612,0.00533,0.0002499,0.0002499,0.0002499
2,52.0971,0.98288,2.06841,0.0044,0.71966,0.82898,0.86535,0.68343,0.84149,0.8435,0.00504,0.000495554,0.000495554,0.000495554
3,64.8924,0.99073,1.12186,0.00446,0.89565,0.88603,0.94648,0.74762,0.88287,0.48914,0.00532,0.000728425,0.000728425,0.000728425
4,77.5277,0.99577,0.80113,0.00424,0.94932,0.92059,0.9792,0.78242,0.84619,0.3576,0.00507,0.00077115,0.00077115,0.00077115
5,90.1843,0.94424,0.62648,0.00421,0.95635,0.96875,0.9905,0.78621,0.85637,0.3044,0.00497,0.000750533,0.000750533,0.000750533
6,103.547,0.92714,0.5437,0.00406,0.96766,0.9679,0.991,0.79669,0.86386,0.29869,0.00514,0.000729916,0.000729916,0.000729916
7,116.686,0.91649,0.48848,0.00404,0.94688,0.96602,0.98487,0.80642,0.84146,0.29359,0.00507,0.000709299,0.000709299,0.000709299
8,129.877,0.89112,0.46181,0.00405,0.95632,0.95977,0.98748,0.7985,0.81258,0.28012,0.00485,0.000688683,0.000688683,0.000688683
9,142.98,0.88155,0.42967,0.00395,0.96256,0.97596,0.98538,0.80728,0.7773,0.27337,0.00462,0.000668066,0.000668066,0.000668066
10,156.157,0.86491,0.433,0.00378,0.95163,0.97274,0.98861,0.81328,0.77465,0.2843,0.00465,0.000647449,0.000647449,0.000647449
11,169.601,0.88281,0.41065,0.00385,0.95135,0.96828,0.98938,0.82038,0.79124,0.27751,0.00466,0.000626832,0.000626832,0.000626832
12,182.511,0.85869,0.39224,0.00375,0.95769,0.98283,0.99028,0.81859,0.75093,0.27224,0.00445,0.000606216,0.000606216,0.000606216
13,195.288,0.85259,0.39494,0.00374,0.98467,0.95704,0.9923,0.82951,0.76092,0.24007,0.00445,0.000585599,0.000585599,0.000585599
14,208.154,0.84424,0.37368,0.00366,0.96101,0.98212,0.98849,0.82788,0.73413,0.24694,0.00443,0.000564982,0.000564982,0.000564982
15,220.814,0.82567,0.34735,0.0036,0.97509,0.97132,0.99305,0.83435,0.73489,0.24983,0.00438,0.000544365,0.000544365,0.000544365
16,233.474,0.80447,0.34001,0.00348,0.94423,0.98218,0.98902,0.83361,0.73375,0.24327,0.00436,0.000523749,0.000523749,0.000523749
17,246.094,0.81581,0.33685,0.00365,0.95987,0.98392,0.98975,0.82629,0.75104,0.25419,0.00444,0.000503132,0.000503132,0.000503132
18,258.664,0.80279,0.3256,0.00355,0.96612,0.98813,0.99085,0.832,0.73093,0.24409,0.00427,0.000482515,0.000482515,0.000482515
19,271.318,0.80446,0.32701,0.0034,0.96329,0.97446,0.98566,0.82254,0.76035,0.25264,0.00449,0.000461898,0.000461898,0.000461898
20,284.186,0.77893,0.32935,0.00339,0.96188,0.98813,0.99353,0.84247,0.70378,0.22897,0.00415,0.000441282,0.000441282,0.000441282
21,296.838,0.79,0.30319,0.00348,0.96441,0.98833,0.99279,0.84384,0.71238,0.22534,0.0042,0.000420665,0.000420665,0.000420665
22,309.53,0.77841,0.29894,0.00342,0.95378,0.99012,0.99366,0.84022,0.73059,0.23824,0.00436,0.000400048,0.000400048,0.000400048
23,322.249,0.77132,0.30668,0.00332,0.94118,0.98887,0.99141,0.84189,0.68644,0.23319,0.00407,0.000379431,0.000379431,0.000379431
24,335.044,0.75393,0.28751,0.00319,0.97984,0.97411,0.99318,0.84611,0.68416,0.21644,0.00403,0.000358815,0.000358815,0.000358815
25,347.849,0.74678,0.27334,0.00323,0.96815,0.95511,0.99049,0.84651,0.68453,0.25079,0.00396,0.000338198,0.000338198,0.000338198
26,360.683,0.7446,0.27644,0.00319,0.95881,0.98195,0.99191,0.84419,0.69102,0.24064,0.00396,0.000317581,0.000317581,0.000317581
27,373.477,0.7506,0.28347,0.00322,0.97553,0.97875,0.99328,0.84522,0.70359,0.23048,0.00412,0.000296964,0.000296964,0.000296964
28,386.215,0.73893,0.27533,0.00316,0.97065,0.98574,0.99321,0.84776,0.69974,0.22109,0.00407,0.000276348,0.000276348,0.000276348
29,399.144,0.72219,0.26609,0.00315,0.9718,0.98842,0.99278,0.84206,0.72948,0.23264,0.0043,0.000255731,0.000255731,0.000255731
30,411.87,0.7155,0.26235,0.00304,0.96857,0.9831,0.99342,0.84735,0.6967,0.22427,0.00401,0.000235114,0.000235114,0.000235114
31,426.531,0.66906,0.22851,0.00347,0.96515,0.9787,0.99351,0.84615,0.68661,0.22319,0.00396,0.000214497,0.000214497,0.000214497
32,439.016,0.65405,0.21673,0.00344,0.95402,0.98669,0.99201,0.84787,0.69703,0.23559,0.00405,0.000193881,0.000193881,0.000193881
