epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.2485,1.10265,4.12313,0.00514,0.41501,0.61132,0.50699,0.37012,0.90891,2.05411,0.0066,0.000270162,0.000270162,0.000270162
2,55.52,0.98962,1.81463,0.00459,0.66146,0.75153,0.82727,0.63735,0.86251,1.18338,0.00619,0.00053427,0.00053427,0.00053427
3,70.4475,0.98017,1.03687,0.00458,0.8661,0.87858,0.94182,0.73423,0.89802,0.67143,0.00643,0.000784633,0.000784633,0.000784633
4,85.209,0.97273,0.74458,0.00448,0.91071,0.92098,0.97326,0.77591,0.87425,0.75287,0.00653,0.00077115,0.00077115,0.00077115
5,100.192,0.9245,0.61453,0.00433,0.94795,0.92216,0.98003,0.79596,0.7762,0.43304,0.00562,0.000750533,0.000750533,0.000750533
6,115.907,0.88259,0.53224,0.00413,0.96184,0.96107,0.98692,0.80082,0.88554,0.33454,0.00642,0.000729916,0.000729916,0.000729916
7,130.69,0.89761,0.48926,0.00428,0.97488,0.9606,0.98778,0.79478,0.80071,0.41619,0.00579,0.000709299,0.000709299,0.000709299
8,145.667,0.86325,0.44123,0.00398,0.94958,0.96998,0.9881,0.80256,0.81659,0.37512,0.00569,0.000688683,0.000688683,0.000688683
9,160.287,0.85097,0.42449,0.00394,0.99027,0.95382,0.9908,0.81516,0.77495,0.37309,0.00556,0.000668066,0.000668066,0.000668066
10,175.338,0.83043,0.39519,0.00389,0.97804,0.97148,0.98877,0.82104,0.79974,0.5059,0.00569,0.000647449,0.000647449,0.000647449
11,190.355,0.83136,0.39899,0.00394,0.95027,0.97968,0.98995,0.82452,0.70558,0.36012,0.00498,0.000626832,0.000626832,0.000626832
12,206.176,0.82113,0.37801,0.00376,0.96191,0.9723,0.98928,0.83217,0.66607,0.34783,0.00469,0.000606216,0.000606216,0.000606216
13,220.808,0.79682,0.35264,0.00361,0.97143,0.96536,0.98908,0.83915,0.66659,0.30904,0.00472,0.000585599,0.000585599,0.000585599
14,235.629,0.7601,0.34004,0.00361,0.97291,0.97939,0.98914,0.8283,0.70847,0.35938,0.00506,0.000564982,0.000564982,0.000564982
15,250.278,0.77717,0.33631,0.0036,0.97526,0.96198,0.99153,0.83665,0.7447,0.30868,0.00525,0.000544365,0.000544365,0.000544365
16,265.119,0.77832,0.33634,0.00353,0.95757,0.97346,0.98911,0.83272,0.68989,0.3635,0.00496,0.000523749,0.000523749,0.000523749
17,279.91,0.77583,0.31856,0.00358,0.96124,0.98984,0.98923,0.83601,0.65156,0.30625,0.00454,0.000503132,0.000503132,0.000503132
18,295.743,0.76163,0.30813,0.00349,0.95446,0.98854,0.98992,0.83624,0.63986,0.36863,0.00448,0.000482515,0.000482515,0.000482515
19,310.792,0.7348,0.30092,0.00337,0.97633,0.96637,0.99055,0.83581,0.68008,0.30895,0.00487,0.000461898,0.000461898,0.000461898
20,325.955,0.73488,0.28791,0.00327,0.95984,0.97649,0.99102,0.8544,0.64852,0.38131,0.00442,0.000441282,0.000441282,0.000441282
21,340.966,0.73493,0.29454,0.00334,0.9615,0.97633,0.9913,0.84673,0.6956,0.32941,0.00495,0.000420665,0.000420665,0.000420665
22,355.988,0.74214,0.29271,0.00337,0.97349,0.9797,0.99222,0.84884,0.68394,0.28211,0.00483,0.000400048,0.000400048,0.000400048
